sold_price_raw,living_area_raw,plot_area_raw,rooms_raw,operating_cost_raw,latitude,longitude,house_age,type_Parhus,type_Radhus,type_Villa,plot_living_ratio,dist_partille_center_km,dist_gbg_center_km,dist_partille_station_km,dist_jonsered_station_km,dist_ostra_km,dist_e20_partille_km,dist_e45_gamlestadsmotet_km,dist_e20_jonsered_lerum_km,dist_rv40_landvetter_km,dist_delsjon_km,dist_kasjon_km,dist_partille_golf_km,dist_jonsered_herrgard_km,min_dist_center_km,min_dist_transport_km,min_dist_workplace_km,min_dist_infrastructure_km,min_dist_recreation_km,sold_year,sold_month,rooms_missing
2510000,99.0,794.0,6.0,1714.0,57.73311465,12.11580931,107.0,False,False,True,8.02020202020202,0.9,8.8,0.9,3.9,4.1,1.0,5.6,3.8,12.0,4.6,4.7,1.8,3.9,0.9,0.9,4.1,1.0,1.8,2014,10,0
6000000,114.0,667.0,0.0,2982.0,57.73144066,12.07085758,83.0,False,False,True,5.850877192982456,2.3,6.2,2.3,6.4,1.7,2.4,3.0,6.4,14.3,2.1,6.9,4.4,6.3,2.3,2.3,1.7,2.4,2.1,2015,1,1
3540000,111.0,678.0,5.0,2982.0,57.725196,12.08339,89.0,False,False,True,6.108108108108108,2.1,6.7,2.1,6.0,2.0,2.3,3.7,5.9,13.4,2.5,6.7,3.9,6.0,2.1,2.1,2.0,2.3,2.5,2015,1,0
4550000,120.0,1.0,5.0,2695.0,57.736407,12.118465,102.0,False,False,True,0.008333333333333333,0.8,9.1,0.8,3.6,4.4,0.8,5.9,3.5,12.0,4.9,4.3,1.5,3.5,0.8,0.8,4.4,0.8,1.5,2015,1,0
4000000,130.0,347.0,5.0,2257.0,57.732117,12.120704,37.0,False,False,True,2.669230769230769,1.2,9.1,1.2,3.7,4.3,1.2,5.9,3.6,11.7,4.9,4.6,1.7,3.7,1.2,1.2,4.3,1.2,1.7,2014,11,0
5000000,162.0,723.0,0.0,2982.0,57.724527,12.059926,59.0,False,False,True,4.462962962962963,3.2,5.4,3.3,7.3,0.7,3.4,2.3,7.2,14.7,1.2,7.8,5.2,7.2,3.2,3.3,0.7,2.3,1.2,2015,1,1
2350000,137.0,162.0,6.0,2707.0,57.754507,12.064048,44.0,False,False,True,1.1824817518248176,3.0,7.3,3.0,6.5,3.8,3.0,4.0,6.5,15.8,4.0,6.3,4.8,6.2,3.0,3.0,3.8,3.0,4.0,2014,11,0
4170000,178.0,599.0,7.0,2982.0,57.734532,12.044159,57.0,False,False,True,3.365168539325843,3.7,5.0,3.8,7.9,1.6,3.8,1.6,7.8,15.9,1.6,8.1,5.8,7.7,3.7,3.8,1.6,1.6,1.6,2014,10,0
3500000,139.0,794.0,6.0,2982.0,57.727072,12.062677,98.0,False,False,True,5.712230215827338,2.9,5.6,3.0,7.1,1.0,3.1,2.4,7.0,14.6,1.5,7.5,5.0,7.0,2.9,3.0,1.0,2.4,1.5,2014,10,0
3416000,108.0,255.0,0.0,2982.0,57.708034,12.150188,39.0,False,True,False,2.361111111111111,4.4,10.4,4.4,4.8,6.1,4.4,7.9,4.7,9.0,6.6,6.4,3.8,5.2,4.4,4.4,6.1,4.4,3.8,2015,1,1
5050000,157.0,915.0,0.0,2982.0,57.726243,12.068036,47.0,False,False,True,5.828025477707007,2.7,5.9,2.8,6.8,1.2,2.9,2.8,6.7,14.3,1.7,7.3,4.7,6.7,2.7,2.8,1.2,2.8,1.7,2015,1,1
3600000,77.0,507.0,0.0,2982.0,57.741257,12.053912,79.0,False,False,True,6.584415584415584,3.1,5.9,3.1,7.2,2.3,3.2,2.5,7.1,15.7,2.4,7.3,5.2,7.0,3.1,3.1,2.3,2.5,2.4,2015,1,1
